BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance(km),streetType,ElectricityProp,NaturalGasProp,SteamProp,OtherEnergyProp,Imp_NumberofFloors
NonResidential,Large Office,LAKE UNION,2010,1.0,0,571329,Office,Parking,310699.0,Other,26203.0,91.0,39605888.0,617.52,1.48579719884376,avenue,0.8131669462883903,0.1868329527165254,0.0,1.0099508436725367e-07,12
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,0,52000,Other,None,0.0,None,0.0,,2726369.0,101.83,2.107810238100319,street,0.47438516209654674,0.0,0.44101880559821505,0.08459603230523821,2
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1928,1.0,0,60696,Other,None,0.0,None,0.0,,875943.3125,6.11,2.107810238100319,street,0.9999996432417537,0.0,0.0,3.567582462706455e-07,1
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1928,1.0,0,262048,Other,None,0.0,None,0.0,,20723248.0,490.73,2.133957323696786,street,0.6520544462914307,0.0,0.24789646873887722,0.100049084969692,2
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1986,1.0,2352,63888,Office,Data Center,5181.0,Distribution Center,4551.0,,4166306.25,29.04,2.0161452545153784,street,0.9999996999740478,0.0,0.0,3.000259522448692e-07,2
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,2010,1.0,303707,616891,Office,Parking,185014.0,Other,6000.0,93.0,36667044.0,674.09,1.929715700434442,avenue,0.7526448273277769,0.2473550908548832,0.0,8.181733984337543e-08,6
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1970,1.0,25930,50283,Office,Parking,21454.0,Other,2406.0,68.0,3476212.5,48.76,2.1918149717635598,avenue,0.8470978111953743,0.15290204496992058,0.0,1.4383470515683377e-07,4
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,2002,1.0,36934,59976,Hotel,Parking,36934.0,None,0.0,56.0,5155568.5,152.14,2.3022861864976067,avenue,0.5114879183546878,0.48851217862782736,0.0,-9.698251511933165e-08,6
NonResidential,Hotel,NORTHEAST,1962,2.0,0,50017,Hotel,Swimming Pool,0.0,None,0.0,53.0,5448975.0,191.2,5.728903354781505,way,0.3905883216568254,0.6094116783431747,0.0,0.0,4
NonResidential,K-12 School,EAST,1923,1.0,0,67743,K-12 School,None,0.0,None,0.0,34.0,2646879.0,78.85,2.872605309131087,avenue,0.5054201570982277,0.49457984290177226,0.0,0.0,3
NonResidential,K-12 School,EAST,1908,1.0,0,194104,K-12 School,None,0.0,None,0.0,100.0,6219841.5,243.23,3.166076351970791,avenue,0.30352750950325663,0.6964725708846439,0.0,-8.038790055984546e-08,6
NonResidential,Small- and Mid-Sized Office,SOUTHEAST,2003,1.0,35752,63681,Office,Parking,35752.0,None,0.0,63.0,4897760.0,34.14,3.7139741641041493,avenue,1.0,0.0,0.0,0.0,3
SPS-District K-12,K-12 School,GREATER DUWAMISH,1957,1.0,0,130862,K-12 School,None,0.0,None,0.0,61.0,6456026.0,238.48,5.178411370419719,way,0.35049734929815957,0.6495028055958882,0.0,-1.5489404782446664e-07,1
SPS-District K-12,K-12 School,SOUTHEAST,1989,1.0,0,59955,K-12 School,None,0.0,None,0.0,93.0,1633399.375,20.48,7.424798387891995,avenue,0.8794028098608768,0.12059696055656934,0.0,2.2958255386867648e-07,3
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1964,1.0,0,93218,K-12 School,None,0.0,None,0.0,86.0,2887392.0,84.75,3.6574121574833756,avenue,0.5149138045682747,0.48508619543172526,0.0,0.0,2
NonResidential,Other,NORTHEAST,1941,1.0,0,56521,Other,None,0.0,None,0.0,,6357632.0,44.32,7.665909049826896,street,0.9999998427087318,0.0,0.0,1.572912681954539e-07,4
NonResidential,Other,NORTHEAST,1929,1.0,0,206934,Other,Parking,0.0,None,0.0,,4253577.5,133.58,7.670307539158061,way,0.4704517550226838,0.5295481274292052,0.0,1.1754811097246965e-07,2
NonResidential,Hotel,NORTHWEST,2001,1.0,0,51390,Hotel,Parking,0.0,None,0.0,89.0,3611538.0,127.29,13.772263462835785,avenue,0.3871727225353852,0.6128272774646149,0.0,0.0,4
